date,timestamp,state,stateId,confirmed,deaths,confirmedNew,deathsNew,totalTests,casesPerCapita,caseRate,deathRate,recovered,positive,negative,pending,hospitalizedCumulative,onVentilatorCumulative,inIcuCumulative
1/22/20,1579669200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/23/20,1579755600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/24/20,1579842000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/25/20,1579928400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/26/20,1580014800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/27/20,1580101200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/28/20,1580187600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/29/20,1580274000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/30/20,1580360400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1/31/20,1580446800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/1/20,1580533200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/2/20,1580619600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/3/20,1580706000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/4/20,1580792400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/5/20,1580878800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/6/20,1580965200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/7/20,1581051600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/8/20,1581138000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/9/20,1581224400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/10/20,1581310800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/11/20,1581397200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/12/20,1581483600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/13/20,1581570000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/14/20,1581656400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/15/20,1581742800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/16/20,1581829200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/17/20,1581915600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/18/20,1582002000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/19/20,1582088400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/20/20,1582174800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/21/20,1582261200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/22/20,1582347600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/23/20,1582434000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/24/20,1582520400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/25/20,1582606800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/26/20,1582693200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/27/20,1582779600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/28/20,1582866000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2/29/20,1582952400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/1/20,1583038800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/2/20,1583125200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/3/20,1583211600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/4/20,1583298000.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/5/20,1583384400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/6/20,1583470800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3/7/20,1583557200.0,Alabama,100,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/8/20,1583643600.0,Alabama,100,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/9/20,1583726400.0,Alabama,100,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/10/20,1583812800.0,Alabama,100,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/11/20,1583899200.0,Alabama,100,0,0,0,0,10.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
3/12/20,1583985600.0,Alabama,100,0,0,0,0,10.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
3/13/20,1584072000.0,Alabama,100,5,0,5,0,12.0,0,0,0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
3/14/20,1584158400.0,Alabama,100,7,0,2,0,74.0,1.4276434603222192e-06,0.2857142857142857,0,0.0,6.0,22.0,46.0,0.0,0.0,0.0
3/15/20,1584244800.0,Alabama,100,11,0,4,0,86.0,2.243439723363487e-06,0.36363636363636365,0,0.0,12.0,28.0,46.0,0.0,0.0,0.0
3/16/20,1584331200.0,Alabama,100,29,0,18,0,96.0,5.914522907049193e-06,0.6206896551724138,0,0.0,28.0,28.0,40.0,0.0,0.0,0.0
3/17/20,1584417600.0,Alabama,100,39,0,10,0,64.0,7.954013564652364e-06,0.2564102564102564,0,0.0,36.0,28.0,0.0,0.0,0.0,0.0
3/18/20,1584504000.0,Alabama,100,51,0,12,0,74.0,1.0401402353776167e-05,0.23529411764705888,0,0.0,46.0,28.0,0.0,0.0,0.0,0.0
3/19/20,1584590400.0,Alabama,100,78,0,27,0,96.0,1.5908027129304727e-05,0.34615384615384615,0,0.0,68.0,28.0,0.0,0.0,0.0,0.0
3/20/20,1584676800.0,Alabama,100,106,0,28,0,109.0,2.1618600970593604e-05,0.26415094339622647,0,0.0,81.0,28.0,0.0,0.0,0.0,0.0
3/21/20,1584763200.0,Alabama,100,131,0,25,0,152.0,2.671732761460153e-05,0.19083969465648853,0,0.0,124.0,28.0,0.0,0.0,0.0,0.0
3/22/20,1584849600.0,Alabama,100,157,0,26,0,1602.0,3.202000332436977e-05,0.16560509554140124,0,0.0,138.0,1464.0,0.0,0.0,0.0,0.0
3/23/20,1584936000.0,Alabama,100,196,0,39,0,1832.0,3.9974016889022137e-05,0.19897959183673475,0,0.0,167.0,1665.0,0.0,0.0,0.0,0.0
3/24/20,1585022400.0,Alabama,100,242,0,46,0,2321.0,4.935567391399672e-05,0.1900826446280992,0,0.0,215.0,2106.0,0.0,0.0,0.0,0.0
3/25/20,1585108800.0,Alabama,100,381,1,139,1,2812.0,7.770459405468079e-05,0.3648293963254593,0,0.0,283.0,2529.0,0.0,0.0,0.0,0.0
3/26/20,1585195200.0,Alabama,100,517,1,136,0,4099.0,0.0001054416669980839,0.26305609284332687,0.0019342359767891683,0.0,506.0,3593.0,0.0,0.0,0.0,0.0
3/27/20,1585281600.0,Alabama,100,587,4,70,3,4771.0,0.00011971810160130608,0.11925042589437818,0.0017035775127768314,0.0,587.0,4184.0,0.0,0.0,0.0,0.0
3/28/20,1585368000.0,Alabama,100,694,4,107,0,4880.0,0.00014154065163766001,0.15417867435158505,0.005763688760806916,0.0,696.0,4184.0,0.0,0.0,0.0,0.0
3/29/20,1585454400.0,Alabama,100,825,10,131,6,4990.0,0.00016825797925226155,0.1587878787878788,0.0048484848484848485,0.0,806.0,4184.0,0.0,0.0,0.0,0.0
3/30/20,1585540800.0,Alabama,100,899,10,74,0,6553.0,0.000183350210118525,0.082313681868743,0.011123470522803115,0.0,859.0,5694.0,0.0,0.0,0.0,0.0
