Rank,Province_State,No graduate,High School Only,Bachelor only,Advanced only,Attainment,Salary
1,District of Columbia,0.129,0.386,0.205,0.28,0.83,78000
2,Massachusetts,0.11,0.508,0.218,0.164,0.68,74189
3,Maryland,0.11,0.517,0.213,0.16,0.67,66701
4,Connecticut,0.114,0.53,0.201,0.155,0.65,60416
5,Colorado,0.107,0.534,0.232,0.127,0.64,63026
6,Vermont,0.09,0.579,0.198,0.133,0.63,61581
7,Virginia,0.134,0.526,0.199,0.141,0.63,64607
8,New Jersey,0.126,0.529,0.216,0.129,0.62,58149
9,New York,0.153,0.523,0.184,0.14,0.61,67727
10,New Hampshire,0.087,0.593,0.208,0.112,0.61,65421
11,Minnesota,0.083,0.602,0.212,0.103,0.6,57001
12,Washington,0.103,0.587,0.199,0.111,0.59,69142
13,Illinois,0.136,0.558,0.189,0.117,0.58,59068
14,Rhode Island,0.153,0.542,0.188,0.117,0.58,71365
15,Hawaii,0.096,0.608,0.197,0.099,0.58,73973
16,Kansas,0.103,0.602,0.193,0.102,0.58,66665
17,Oregon,0.109,0.599,0.188,0.104,0.57,67253
18,Delaware,0.126,0.587,0.173,0.114,0.57,62391
19,Utah,0.096,0.619,0.194,0.091,0.56,55841
20,Maine,0.098,0.633,0.173,0.096,0.55,58015
21,Alaska,0.086,0.648,0.176,0.09,0.55,69751
22,California,0.194,0.507,0.192,0.107,0.55,62356
23,Nebraska,0.102,0.624,0.186,0.088,0.55,65465
24,Montana,0.092,0.634,0.191,0.083,0.55,57684
25,Pennsylvania,0.121,0.615,0.162,0.102,0.55,57871
26,Georgia,0.161,0.564,0.176,0.099,0.54,55075
27,Wisconsin,0.102,0.641,0.173,0.084,0.54,56509
28,Missouri,0.132,0.616,0.157,0.095,0.53,62276
29,Michigan,0.121,0.633,0.152,0.094,0.53,59093
30,Iowa,0.086,0.663,0.177,0.074,0.53,54554
31,North Carolina,0.157,0.578,0.177,0.088,0.53,53703
32,Wyoming,0.082,0.68,0.159,0.079,0.53,60682
33,New Mexico,0.172,0.575,0.149,0.104,0.53,53675
34,North Dakota,0.099,0.643,0.191,0.067,0.52,70067
35,South Dakota,0.101,0.648,0.178,0.073,0.52,68022
36,Arizona,0.158,0.586,0.163,0.093,0.52,57091
37,Florida,0.147,0.6,0.163,0.09,0.52,51909
38,Ohio,0.124,0.635,0.153,0.088,0.52,56477
39,Idaho,0.116,0.645,0.164,0.075,0.51,58479
40,South Carolina,0.164,0.593,0.159,0.084,0.51,63020
41,Texas,0.201,0.544,0.17,0.085,0.5,56536
42,Indiana,0.134,0.641,0.144,0.081,0.5,56725
43,Oklahoma,0.144,0.629,0.153,0.074,0.49,60844
44,Tennessee,0.169,0.601,0.151,0.079,0.49,56888
45,Nevada,0.161,0.621,0.142,0.076,0.48,69200
46,Alabama,0.179,0.601,0.143,0.077,0.48,53786
47,Kentucky,0.183,0.607,0.125,0.085,0.48,60788
48,Louisiana,0.178,0.608,0.145,0.069,0.47,55280
49,Mississippi,0.196,0.608,0.125,0.071,0.45,62497
50,Arkansas,0.176,0.635,0.128,0.061,0.45,59389
51,West Virginia,0.172,0.655,0.106,0.067,0.44,58867
52,Puerto Rico,0.503,0.354,0.107,0.036,0.29,54810
