Region,2016 presidential election,Governor,State Senate,Senate Count,State House,House Count,Senior U.S. Senator,Junior U.S. Senator,U.S. House of Representatives,US House Count
Alabama,Republican,Republican,Republican,27-8,Republican,77-28,Republican,Democratic,Republican,6-1
Alaska,Republican,Republican,Republican,13-7,Coalition,23-17,Republican,Republican,Republican,0-0
Arizona,Republican,Republican,Republican,16-14,Republican,31-29,Democratic,Republican,Democratic,5-4
Arkansas,Republican,Republican,Republican,28-7,Republican,76-24,Republican,Republican,Republican,4-0
California,Democratic,Democratic,Democratic,29-11,Democratic,61-19,Democratic,Democratic,Democratic,46-7
Colorado,Democratic,Democratic,Democratic,20-15,Democratic,41-24,Democratic,Republican,Democratic,4-3
Connecticut,Democratic,Democratic,Democratic,24-12,Democratic,97-54,Democratic,Democratic,Democratic,5-0
Delaware,Democratic,Democratic,Democratic,14-7,Democratic,26-15,Democratic,Democratic,Democratic,0-0
Florida,Republican,Republican,Republican,24Ð16,Republican,78Ð42,Republican,Republican,Republican,14-13
Georgia,Republican,Republican,Republican,34-22,Republican,103-76-1,Republican,Republican,Republican,9-5
Hawaii,Democratic,Democratic,Democratic,24-1,Democratic,47-4,Democratic,Democratic,Democratic,2-0
Idaho,Republican,Republican,Republican,28-7,Republican,58Ð12,Republican,Republican,Republican,2-0
Illinois,Democratic,Democratic,Democratic,41-18,Democratic,74-45,Democratic,Democratic,Democratic,13-5
Indiana,Republican,Republican,Republican,"38Ð11,-1",Republican,71Ð29,Republican,Republican,Republican,7-2
Iowa,Republican,Republican,Republican,32-18,Republican,59Ð41,Republican,Republican,Democratic,3-1
Kansas,Republican,Democratic,Republican,28-11,Republican,86Ð38-1 ,Republican,Republican,Republican,3-1
Kentucky,Republican,Democratic,Republican,30Ð8,Republican,75Ð25,Republican,Republican,Republican,5-1
Louisiana,Republican,Democratic,Republican,27-12,Republican,68-35,Republican,Republican,Republican,5-1
Maine,Democratic,Democratic,Democratic,21-14,Democratic,80-66-4-1,Republican,Independent[e] ,Democratic,2-0
Maryland,Democratic,Republican,Democratic,32-15,Democratic,99-42,Democratic,Democratic,Democratic,6-1
Massachusetts,Democratic,Republican,Democratic,37Ð3,Democratic,127-32,Democratic,Democratic,Democratic,9-0
Michigan,Republican,Democratic,Republican,22-16,Republican,58-52,Democratic,Democratic,Democratic,7-6
Minnesota,Democratic,Democratic,Republican,34Ð31-2 ,Democratic,70Ð64,Democratic,Democratic,Democratic,5-3
Mississippi,Republican,Republican,Republican,36-16,Republican,75-46,Republican,Republican,Republican,3-1
Missouri,Republican,Republican,Republican,24-10,Republican,114Ð49,Republican,Republican,Republican,6-2
Montana,Republican,Democratic,Republican,67Ð33,Republican,58-42,Democratic,Republican,Republican,0-0
Nebraska,Republican,Republican,Unicameral,0-0,Republican,30Ð19,Republican,Republican,Republican,3-0
Nevada,Democratic,Democratic,Democratic,12Ð9,Democratic,26Ð16,Democratic,Democratic,Democratic,3-1
New Hampshire,Democratic,Republican,Republican,14-10,Republican,234-166,Democratic,Democratic,Democratic,2-0
New Jersey,Democratic,Democratic,Democratic,25-15,Democratic,52Ð28,Democratic,Democratic,Democratic,10-2
New Mexico,Democratic,Democratic,Democratic, 27Ð15,Democratic,44Ð25-1,Democratic,Democratic,Democratic,3-0
New York,Democratic,Democratic,Democratic,43Ð20,Democratic,106-43,Democratic,Democratic,Democratic,21-5
North Carolina,Republican,Democratic,Republican,28Ð22,Republican,69Ð51,Republican,Republican,Republican,10-3
North Dakota,Republican,Republican,Republican,40Ð17,Republican,80Ð14,Republican,Republican,Republican,0-0
Ohio,Republican,Republican,Republican,25Ð8,Republican,64Ð35,Democratic,Republican,Republican,12-4
Oklahoma,Republican,Republican,Republican,39-9,Republican,82Ð19,Republican,Republican,Republican,4-1
Oregon,Democratic,Democratic,Democratic,17Ð13,Democratic,37Ð23,Democratic,Democratic,Democratic,4-1
Pennsylvania,Republican,Democratic,Republican,28-22,Republican,110-93,Democratic,Republican,Tied,9-9
Rhode Island,Democratic,Democratic,Democratic,33-5,Democratic,65Ð10,Democratic,Democratic,Democratic,2-0
South Carolina,Republican,Republican,Republican,30Ð16,Republican,81Ð43,Republican,Republican,Republican,5-2
South Dakota,Republican,Republican,Republican,32Ð3,Republican,62Ð8,Republican,Republican,Republican,0-0
Tennessee,Republican,Republican,Republican,27Ð6,Republican,73-26,Republican,Republican,Republican,7-2
Texas,Republican,Republican,Republican,18Ð13,Republican,83Ð67,Republican,Republican,Republican,23-13
Utah,Republican,Republican,Republican,23-6,Republican,58Ð17,Republican,Republican,Republican,3-1
Vermont,Democratic,Republican,Democratic,21Ð7-2,Democratic,92Ð47-7-4 ,Democratic,Independent[e] ,Democratic,0-0
Virginia,Democratic,Democratic,Democratic,21-19,Democratic,55-45,Democratic,Democratic,Democratic,7-4
Washington,Democratic,Democratic,Democratic,29-20,Democratic,57-41,Democratic,Democratic,Democratic,7-3
West Virginia,Republican,Republican,Republican,20-14,Republican,77Ð23,Democratic,Republican,Republican,3-0
Wisconsin,Republican,Democratic,Republican,21Ð12,Republican,61Ð38,Republican,Democratic,Republican,5-3
Wyoming,Republican,Republican,Republican,51Ð7-1-1 ,Republican,50-9-1,Republican,Republican,Republican,0-0
American Samoa,NA,Democratic,Independent,0-0,Independent,0-0,NA,NA,NA,NA
District of Columbia,Democratic,Democratic,Democratic,0-0,Democratic,11-0,Democratic,NA,NA,NA
Guam,NA,Democratic,Democratic,0-0,Democratic,10-5,NA,NA,NA,NA
Northern Mariana Islands,NA,Republican,Republican,14-0,Republican,7-0,NA,NA,NA,NA
Puerto Rico,NA,Democratic,Democratic,26Ð21-2-1-1 ,Democratic,13Ð9-2-1-1-1,NA,NA,NA,NA
