,Province_State,County,Party,TotalVotes,WinningVotes
0,Alabama,Autauga County,REP,27770,19838
1,Alabama,Baldwin County,REP,109679,83544
2,Alabama,Barbour County,REP,10518,5622
3,Alabama,Bibb County,REP,9595,7525
4,Alabama,Blount County,REP,27588,24711
5,Alabama,Bullock County,DEM,4613,3446
6,Alabama,Butler County,REP,9488,5458
7,Alabama,Calhoun County,REP,50983,35101
8,Alabama,Chambers County,REP,15284,8753
9,Alabama,Cherokee County,REP,12301,10583
10,Alabama,Chilton County,REP,19310,16085
11,Alabama,Choctaw County,REP,7464,4296
12,Alabama,Clarke County,REP,13135,7324
13,Alabama,Clay County,REP,6930,5601
14,Alabama,Cleburne County,REP,7227,6484
15,Alabama,Coffee County,REP,22275,16899
16,Alabama,Colbert County,REP,27886,19203
17,Alabama,Conecuh County,REP,6441,3442
18,Alabama,Coosa County,REP,5479,3631
19,Alabama,Covington County,REP,17430,14586
20,Alabama,Crenshaw County,REP,6617,4864
21,Alabama,Cullman County,REP,41851,36880
22,Alabama,Dale County,REP,19738,14303
23,Alabama,Dallas County,DEM,17864,12230
24,Alabama,DeKalb County,REP,29356,24767
25,Alabama,Elmore County,REP,41030,30164
26,Alabama,Escambia County,REP,15910,10869
27,Alabama,Etowah County,REP,47728,35528
28,Alabama,Fayette County,REP,8766,7300
29,Alabama,Franklin County,REP,12578,10376
30,Alabama,Geneva County,REP,12545,10848
31,Alabama,Greene County,DEM,4775,3884
32,Alabama,Hale County,DEM,7922,4687
33,Alabama,Henry County,REP,9298,6607
34,Alabama,Houston County,REP,46173,32618
35,Alabama,Jackson County,REP,23636,19670
36,Alabama,Jefferson County,DEM,325848,181688
37,Alabama,Lamar County,REP,7193,6174
38,Alabama,Lauderdale County,REP,44339,31721
39,Alabama,Lawrence County,REP,16031,12322
40,Alabama,Lee County,REP,71449,42221
41,Alabama,Limestone County,REP,49235,34640
42,Alabama,Lowndes County,DEM,6835,4972
43,Alabama,Macon County,DEM,8723,7108
44,Alabama,Madison County,REP,194767,102780
45,Alabama,Marengo County,DEM,10900,5488
46,Alabama,Marion County,REP,13807,12205
47,Alabama,Marshall County,REP,39655,33191
48,Alabama,Mobile County,REP,183164,101243
49,Alabama,Monroe County,REP,10668,6147
50,Alabama,Montgomery County,DEM,99139,64529
51,Alabama,Morgan County,REP,53722,39664
52,Alabama,Perry County,DEM,5230,3860
53,Alabama,Pickens County,REP,9668,5594
54,Alabama,Pike County,REP,13841,8042
55,Alabama,Randolph County,REP,10837,8559
56,Alabama,Russell County,DEM,21329,11228
57,Alabama,Shelby County,REP,114950,79700
58,Alabama,St. Clair County,REP,44441,36166
59,Alabama,Sumter County,DEM,6291,4648
60,Alabama,Talladega County,REP,35663,22235
61,Alabama,Tallapoosa County,REP,20991,14963
62,Alabama,Tuscaloosa County,REP,90172,51117
63,Alabama,Walker County,REP,31170,26002
64,Alabama,Washington County,REP,8876,6564
65,Alabama,Wilcox County,DEM,5903,4048
66,Alabama,Winston County,REP,11284,10195
67,Alaska,ED 1,REP,7360,3511
68,Alaska,ED 10,REP,11256,8081
69,Alaska,ED 11,REP,10686,7096
70,Alaska,ED 12,REP,11280,7893
71,Alaska,ED 13,REP,7765,4652
72,Alaska,ED 14,REP,11534,6714
73,Alaska,ED 15,REP,5593,2671
74,Alaska,ED 16,DEM,8170,4274
75,Alaska,ED 17,DEM,7271,4136
76,Alaska,ED 18,DEM,7759,4681
77,Alaska,ED 19,DEM,5338,3118
